NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                                MESSAGE
kubevirt             7m27s       Normal    Scheduled                 pod/virt-operator-6fbd74566c-ck4xt                                    Successfully assigned kubevirt/virt-operator-6fbd74566c-ck4xt to kmi-test-worker
kubevirt             7m26s       Normal    Started                   pod/virt-operator-6fbd74566c-5vzkv                                    Started container virt-operator
kubevirt             7m26s       Normal    Started                   pod/virt-operator-6fbd74566c-ck4xt                                    Started container virt-operator
kubevirt             7m24s       Normal    LeaderElection            endpoints/virt-operator                                               virt-operator-6fbd74566c-5vzkv became leader
kubevirt             7m14s       Normal    Scheduled                 pod/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobh--1-x9z2l   Successfully assigned kubevirt/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobh--1-x9z2l to kmi-test-worker
kubevirt             7m14s       Normal    SuccessfulCreate          job/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobhr7cb        Created pod: kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobh--1-x9z2l
kubevirt             7m13s       Normal    Pulled                    pod/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobh--1-x9z2l   Container image "quay.io/kubevirt/virt-operator:v0.47.1" already present on machine
kubevirt             7m13s       Normal    Created                   pod/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobh--1-x9z2l   Created container install-strategy-upload
kubevirt             7m13s       Normal    Started                   pod/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobh--1-x9z2l   Started container install-strategy-upload
kubevirt             7m11s       Normal    Completed                 job/kubevirt-18a1f6d18c2f5f620c2cde4f617b5798338df1b3-jobhr7cb        Job completed
kubevirt             7m6s        Normal    ScalingReplicaSet         deployment/virt-api                                                   Scaled up replica set virt-api-86f9d6d4f to 2
kubevirt             7m6s        Normal    SuccessfulCreate          replicaset/virt-api-86f9d6d4f                                         Created pod: virt-api-86f9d6d4f-b2l8t
kubevirt             7m6s        Normal    SuccessfulCreate          replicaset/virt-api-86f9d6d4f                                         Created pod: virt-api-86f9d6d4f-ws5cv
kubevirt             7m6s        Normal    Scheduled                 pod/virt-api-86f9d6d4f-ws5cv                                          Successfully assigned kubevirt/virt-api-86f9d6d4f-ws5cv to kmi-test-worker
kubevirt             7m6s        Normal    Scheduled                 pod/virt-api-86f9d6d4f-b2l8t                                          Successfully assigned kubevirt/virt-api-86f9d6d4f-b2l8t to kmi-test-worker
kubevirt             7m6s        Normal    NoPods                    poddisruptionbudget/virt-api-pdb                                      No matching pods found
kubevirt             7m5s        Normal    Pulled                    pod/virt-api-86f9d6d4f-ws5cv                                          Container image "quay.io/kubevirt/virt-api:v0.47.1" already present on machine
kubevirt             7m5s        Normal    Started                   pod/virt-api-86f9d6d4f-ws5cv                                          Started container virt-api
kubevirt             7m5s        Normal    Created                   pod/virt-api-86f9d6d4f-b2l8t                                          Created container virt-api
kubevirt             7m5s        Normal    Started                   pod/virt-api-86f9d6d4f-b2l8t                                          Started container virt-api
kubevirt             7m5s        Normal    Created                   pod/virt-api-86f9d6d4f-ws5cv                                          Created container virt-api
kubevirt             7m5s        Normal    Pulled                    pod/virt-api-86f9d6d4f-b2l8t                                          Container image "quay.io/kubevirt/virt-api:v0.47.1" already present on machine
kubevirt             6m41s       Normal    SuccessfulCreate          replicaset/virt-controller-54b79f5db                                  Created pod: virt-controller-54b79f5db-mbppr
kubevirt             6m41s       Normal    Scheduled                 pod/virt-handler-52pgb                                                Successfully assigned kubevirt/virt-handler-52pgb to kmi-test-worker
kubevirt             6m41s       Normal    SuccessfulCreate          daemonset/virt-handler                                                Created pod: virt-handler-52pgb
kubevirt             6m41s       Normal    Scheduled                 pod/virt-controller-54b79f5db-t2vjq                                   Successfully assigned kubevirt/virt-controller-54b79f5db-t2vjq to kmi-test-worker
kubevirt             6m41s       Normal    Scheduled                 pod/virt-controller-54b79f5db-mbppr                                   Successfully assigned kubevirt/virt-controller-54b79f5db-mbppr to kmi-test-worker
kubevirt             6m41s       Normal    NoPods                    poddisruptionbudget/virt-controller-pdb                               No matching pods found
kubevirt             6m41s       Normal    SuccessfulCreate          replicaset/virt-controller-54b79f5db                                  Created pod: virt-controller-54b79f5db-t2vjq
kubevirt             6m41s       Normal    ScalingReplicaSet         deployment/virt-controller                                            Scaled up replica set virt-controller-54b79f5db to 2
kubevirt             6m40s       Normal    Started                   pod/virt-controller-54b79f5db-t2vjq                                   Started container virt-controller
kubevirt             6m40s       Normal    Started                   pod/virt-handler-52pgb                                                Started container virt-launcher
kubevirt             6m40s       Normal    Pulled                    pod/virt-controller-54b79f5db-t2vjq                                   Container image "quay.io/kubevirt/virt-controller:v0.47.1" already present on machine
kubevirt             6m40s       Normal    Started                   pod/virt-controller-54b79f5db-mbppr                                   Started container virt-controller
kubevirt             6m40s       Normal    Created                   pod/virt-controller-54b79f5db-mbppr                                   Created container virt-controller
kubevirt             6m40s       Normal    Pulled                    pod/virt-handler-52pgb                                                Container image "quay.io/kubevirt/virt-launcher:v0.47.1" already present on machine
kubevirt             6m40s       Normal    Created                   pod/virt-handler-52pgb                                                Created container virt-launcher
kubevirt             6m40s       Normal    Pulled                    pod/virt-controller-54b79f5db-mbppr                                   Container image "quay.io/kubevirt/virt-controller:v0.47.1" already present on machine
kubevirt             6m40s       Normal    Created                   pod/virt-controller-54b79f5db-t2vjq                                   Created container virt-controller
kubevirt             6m39s       Normal    Started                   pod/virt-handler-52pgb                                                Started container virt-handler
kubevirt             6m39s       Normal    Pulled                    pod/virt-handler-52pgb                                                Container image "quay.io/kubevirt/virt-handler:v0.47.1" already present on machine
kubevirt             6m39s       Normal    Created                   pod/virt-handler-52pgb                                                Created container virt-handler
kubevirt             6m38s       Normal    LeaderElection            endpoints/virt-controller                                             virt-controller-54b79f5db-t2vjq became leader
default              6m20s       Normal    Scheduled                 pod/virt-launcher-testvm-rqscz                                        Successfully assigned default/virt-launcher-testvm-rqscz to kmi-test-worker
default              6m20s       Normal    SuccessfulCreate          virtualmachine/testvm                                                 Started the virtual machine by creating the new virtual machine instance testvm
default              6m20s       Normal    SuccessfulCreate          virtualmachineinstance/testvm                                         Created virtual machine pod virt-launcher-testvm-rqscz
default              6m19s       Normal    Created                   pod/virt-launcher-testvm-rqscz                                        Created container container-disk-binary
default              6m19s       Normal    Started                   pod/virt-launcher-testvm-rqscz                                        Started container container-disk-binary
default              6m19s       Normal    Pulled                    pod/virt-launcher-testvm-rqscz                                        Container image "quay.io/kubevirt/virt-launcher:v0.47.1" already present on machine
default              6m18s       Normal    Pulling                   pod/virt-launcher-testvm-rqscz                                        Pulling image "docker.io/containercraft/rhcos:4.9-dev"
default              6m17s       Normal    Started                   pod/virt-launcher-testvm-rqscz                                        Started container volumecontainerdisk-init
default              6m17s       Normal    Pulled                    pod/virt-launcher-testvm-rqscz                                        Successfully pulled image "docker.io/containercraft/rhcos:4.9-dev" in 977.572513ms
default              6m17s       Normal    Created                   pod/virt-launcher-testvm-rqscz                                        Created container volumecontainerdisk-init
default              6m16s       Normal    Pulled                    pod/virt-launcher-testvm-rqscz                                        Container image "quay.io/kubevirt/virt-launcher:v0.47.1" already present on machine
default              6m16s       Normal    Pulling                   pod/virt-launcher-testvm-rqscz                                        Pulling image "docker.io/containercraft/rhcos:4.9-dev"
default              6m16s       Normal    Created                   pod/virt-launcher-testvm-rqscz                                        Created container compute
default              6m16s       Normal    Started                   pod/virt-launcher-testvm-rqscz                                        Started container compute
default              6m15s       Normal    Pulled                    pod/virt-launcher-testvm-rqscz                                        Successfully pulled image "docker.io/containercraft/rhcos:4.9-dev" in 889.029299ms
default              6m15s       Normal    Created                   pod/virt-launcher-testvm-rqscz                                        Created container volumecontainerdisk
default              6m15s       Normal    Started                   pod/virt-launcher-testvm-rqscz                                        Started container volumecontainerdisk
default              6m12s       Normal    Started                   virtualmachineinstance/testvm                                         VirtualMachineInstance started.
default              6m12s       Normal    Created                   virtualmachineinstance/testvm                                         VirtualMachineInstance defined.
